ID,Job_Title,Salary_Estimate,Rating,Company_Name,States,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_SalaryK,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
23,Data Scientist,$63K-$105K ,4.3,SMC 3,KY,"Louisville, KY","Peachtree City, GA",51 - 200,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),Unknown,0,0,63,105,84,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,M
24,Data Scientist,$109K-$177K ,4,Novetta,VA,"Herndon, VA","Mc Lean, VA",501 - 1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,na,na
25,Digital Health Data Scientist,$63K-$110K ,4,Pfizer,MA,"Cambridge, MA","New York, NY",10000+,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,63,110,86.5,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
26,Data Scientist,$75K-$124K ,3.5,First Tech Federal Credit Union,OR,"Hillsboro, OR","San Jose, CA",1001 - 5000,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),Unknown,0,0,75,124,99.5,69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,data scientist,na,na
27,Associate Data Analyst,$34K-$61K ,3.7,The Hanover Insurance Group,MA,"Worcester, MA","Worcester, MA",5001 - 10000,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),Unknown,0,0,34,61,47.5,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
28,Clinical Data Scientist,$63K-$105K ,4,Pfizer,CT,"Groton, CT","New York, NY",10000+,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,63,105,84,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
29,Data Scientist,$80K-$90K ,4.8,KnowBe4,FL,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),Unknown,0,0,80,90,85,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
30,Data Scientist,$56K-$97K ,3.8,PNNL,WA,"Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
31,Data Scientist,$72K-$120K ,3.6,Amrock,MI,"Detroit, MI","Detroit, MI",1001 - 5000,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),Unknown,0,0,72,120,96,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
32,Data Scientist / Machine Learning Expert,$86K-$143K ,3.8,Novartis,MA,"Cambridge, MA","Basel, Switzerland",10000+,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown,0,0,86,143,114.5,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,na,na
33,Data Scientist,$93K-$149K ,3.8,Juniper Networks,CA,"Sunnyvale, CA","Sunnyvale, CA",5001 - 10000,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),Unknown,0,0,93,149,121,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,na,M
34,Data Scientist,$85K-$140K ,4.7,New England Biolabs,MA,"Ipswich, MA","Ipswich, MA",201 - 500,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140,112.5,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
35,Web Data Analyst,$77K-$135K ,4.2,Clarity Insights,CA,"San Jose, CA","Chicago, IL",201 - 500,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown,0,0,77,135,106,13,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
36,Data Scientist,$82K-$132K ,3.5,Esri,CA,"Redlands, CA","Redlands, CA",1001 - 5000,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82,132,107,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,na,M
37,Data Scientist,$83K-$137K ,4.7,Systems & Technology Research,MA,"Woburn, MA","Woburn, MA",201 - 500,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Unknown,0,0,83,137,110,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,na,P
38,Senior Data Scientist,$115K-$180K ,3.5,Sartorius,CA,"Fremont, CA","Gottingen, Germany",5001 - 10000,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Unknown,0,0,115,180,147.5,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
39,Data Engineer,$74K-$138K ,3.5,Lancer Insurance,NY,"Long Beach, NY","Long Beach, NY",201 - 500,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),Unknown,0,0,74,138,106,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M
40,Data Analyst,$64K-$112K ,4.2,Sauce Labs,CA,"San Francisco, CA","San Francisco, CA",201 - 500,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112,88,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,na,na
41,Data Engineer,$68K-$129K ,3.6,Persivia,MA,"Marlborough, MA","Lowell, MA",Jan-50,-1,Company - Private,-1,-1,Less than $1 million (USD),Unknown,0,0,68,129,98.5,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
42,Data Scientist - Algorithms & Inference,$110K-$175K ,4.2,Nuna,CA,"San Francisco, CA","San Francisco, CA",51 - 200,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,110,175,142.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
43,Scientist,$52K-$113K ,3.4,Edgewell Personal Care,NJ,"Allendale, NJ","Shelton, CT",5001 - 10000,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52,113,82.5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
44,Senior Data Scientist,$110K-$150K,4.3,Equity Residential,IL,"Chicago, IL","Chicago, IL",1001 - 5000,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150,130,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,sr,M
45,Data Scientist,$150K-$160K,5,BPA Services,DC,"Washington, DC","Alexandria, VA",unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,1,150,160,155,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
46,Lead Data Scientist,$158K-$211K ,3.7,Visa Inc.,WA,"Bellevue, WA","Foster City, CA",10000+,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211,184.5,63,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,data scientist,sr,na
47,Associate Data Analyst,$20K-$39K ,3.1,Intrado,CO,"Longmont, CO","Omaha, NE",5001 - 10000,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Unknown,0,0,20,39,29.5,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M
48,Spectral Scientist/Engineer,$56K-$117K ,4.7,Centauri,OH,"Beavercreek, OH","Chantilly, VA",501 - 1000,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56,117,86.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
49,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K ,3.7,Caterpillar,IL,"Peoria, IL","Deerfield, IL",10000+,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99,81,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
50,Data Scientist,$68K-$114K ,3.8,Zimmerman Advertising,FL,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 - 1000,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,68,114,91,37,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
51,"Data Scientist, Office of Data Science",$86K-$143K ,3.3,Liberty Mutual Insurance,MA,"Boston, MA","Boston, MA",10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86,143,114.5,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
52,Data Science Analyst,$41K-$95K ,4.6,"Torch Technologies, Inc.",AL,"Huntsville, AL","Huntsville, AL",1001 - 5000,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Unknown,0,0,41,95,68,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
53,Data Scientist,$86K-$144K ,3.7,Swiss Re,NY,"Armonk, NY","Zurich, Switzerland",10000+,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86,144,115,158,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
54,Data Scientist,$80K-$139K ,3.7,Northrop Grumman,CA,"San Diego, CA","Falls Church, VA",10000+,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Unknown,0,0,80,139,109.5,82,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
55,Data Scientist,$56K-$95K ,3.5,Sartorius,NM,"Albuquerque, NM","Gottingen, Germany",5001 - 10000,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Unknown,0,0,56,95,75.5,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
56,Data Scientist,$120K-$189K ,4.1,Netskope,CA,"San Francisco, CA","Santa Clara, CA",501 - 1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,9,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,data scientist,na,P
57,Data Scientist,$111K-$176K ,4.7,1904labs,MO,"Saint Louis, MO","Saint Louis, MO",51 - 200,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176,143.5,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,data scientist,na,na
58,Data Scientist,$54K-$93K ,4.1,ClearOne Advantage,MD,"Baltimore, MD","Baltimore, MD",501 - 1000,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Unknown,0,0,54,93,73.5,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
59,Data Scientist,$71K-$119K ,3.4,CyrusOne,TX,"Dallas, TX","Dallas, TX",201 - 500,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na
60,Senior Data Scientist,$82K-$132K ,4.4,The David J. Joseph Company,OH,"Cincinnati, OH","Cincinnati, OH",201 - 500,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,Unknown,0,0,82,132,107,136,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,sr,M
61,Data Scientist,$84K-$146K ,4.3,USEReady,NY,"New York, NY","New York, NY",201 - 500,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Unknown,0,0,84,146,115,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na
62,Senior Risk Data Scientist,$107K-$172K ,3.8,Bill.com,CA,"Palo Alto, CA","Palo Alto, CA",501 - 1000,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),Unknown,0,0,107,172,139.5,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M
63,Data Scientist in Artificial Intelligence Early Career,$49K-$85K ,3.8,Pacific Northwest National Laboratory,WA,"Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85,67,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
64,Data Scientist,$61K-$109K ,3.8,DICK'S Sporting Goods - Corporate,PA,"Coraopolis, PA","Coraopolis, PA",10000+,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61,109,85,73,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
65,Data Scientist,$88K-$148K ,2.8,Berg Health,MA,"Framingham, MA","Framingham, MA",51 - 200,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),Unknown,0,0,88,148,118,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P
66,Data Scientist,$60K-$99K ,4.7,Oversight Systems,GA,"Atlanta, GA","Atlanta, GA",51 - 200,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Unknown,0,0,60,99,79.5,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,na,na
67,Data Scientist - Research,$41K-$72K ,3.1,C Space,MA,"Boston, MA","Boston, MA",201 - 500,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41,72,56.5,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na
68,Data Scientist,$96K-$161K ,3.2,"Numeric, LLC",PA,"Philadelphia, PA","Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Unknown,0,0,96,161,128.5,-1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
69,R&D Data Analysis Scientist,$65K-$130K ,4,HP Inc.,WA,"Vancouver, WA","Palo Alto, CA",10000+,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown,0,0,65,130,97.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
70,Analytics Consultant,$52K-$81K ,4.4,SpringML,IN,"Indianapolis, IN","Pleasanton, CA",Jan-50,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,52,81,66.5,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data analitics,na,na
71,"Director, Data Science",$139K-$220K ,3.6,Grainger,IL,"Lake Forest, IL","Lake Forest, IL",10000+,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),Unknown,0,0,139,220,179.5,94,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
72,Scientist,$50K-$102K ,2.7,EAG Laboratories,MO,"Maryland Heights, MO","San Diego, CA",501 - 1000,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),Unknown,0,0,50,102,76,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
73,Data Scientist SR,$85K-$139K ,3.9,The Buffalo Group,VA,"Charlottesville, VA","Reston, VA",501 - 1000,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85,139,112,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M
74,Data Scientist,$74K-$122K ,3.1,Carmeuse,PA,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 - 5000,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,74,122,98,161,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M
75,R&D Sr Data Scientist,$99K-$157K ,4,HP Inc.,WA,"Vancouver, WA","Palo Alto, CA",10000+,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown,0,0,99,157,128,82,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,data scientist,sr,M
76,Customer Data Scientist/Sales Engineer (Bay,$79K-$222K ,4.3,h2o.ai,CA,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,79,222,150.5,10,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,data scientist,na,P
77,Research Scientist,$57K-$118K ,1.9,GNS Healthcare,MA,"Cambridge, MA","Cambridge, MA",51 - 200,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),Unknown,0,0,57,118,87.5,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
78,Data Scientist,$83K-$137K ,3.3,Peraton,VA,"Chantilly, VA","Herndon, VA",1001 - 5000,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Unknown,0,0,83,137,110,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,data scientist,na,na
79,Data Scientist,$86K-$141K ,4.4,Pactera,CA,"San Jose, CA","Beijing, China",10000+,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",0,0,86,141,113.5,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
80,Data Scientist,$94K-$154K ,3.9,Nurx,CA,"San Francisco, CA","San Francisco, CA",51 - 200,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Unknown,0,0,94,154,124,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
81,Jr. Business Data Analyst,$37K-$76K ,4.7,webfx.com,PA,"Harrisburg, PA","Harrisburg, PA",201 - 500,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),Unknown,0,0,37,76,56.5,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,analyst,jr,na
